filename,field,gemini_score,gemini_explanation
fiscal_note_20250801_090745_n30_rerank_k20.json,overview,5.0,"The candidate text correctly identifies that the First Circuit program will be made permanent and notes the correct sunset date. However, it contains a significant factual error, stating the Kona pilot program is for three years when the reference text specifies it is a two-year program. It also completely omits a key component of the measure: the requirement for reports to the legislature concerning the need for similar courts in other circuits."
fiscal_note_20250801_090745_n30_rerank_k20.json,appropriations,1.0,"The candidate text is completely incorrect and appears to be from an entirely different document. It fails to mention any of the key information from the gold standard, including the specific appropriation amounts ($514,900 and $557,000), the correct fiscal years (FY 2025-2026 and FY 2026-2027), or the purpose of the funding (the Women's Court Pilot Program). The candidate text discusses different bills, amounts, and purposes altogether."
fiscal_note_20250801_090745_n30_rerank_k20.json,assumptions_and_methodology,1.0,"The candidate text is completely incorrect and appears to be describing a different fiscal analysis altogether.

- **Methodology:** The gold standard states the methodology is ""mirroring the cost"" of the ""Mohala Wahine"" pilot program. The candidate text incorrectly claims the methodology is based on ""staffing costs derived from the Department of Health's proposed budget.""
- **Cost Components:** The gold standard lists costs for ""supplies, technological devices and workstations, as well as contractor costs."" The candidate text incorrectly lists specific staff positions (Psychologist, Social Worker) and training costs, which are not mentioned in the reference.
- **Scope:** The gold standard specifies the costs are applied to the ""Kona Division."" The candidate text omits this critical detail entirely.
- **Data Source:** The candidate introduces numerous specific dollar figures and document citations that are completely absent from the gold standard text.

The candidate text fails to capture any of the key information from the gold standard and instead presents entirely different and contradictory information."
fiscal_note_20250801_090745_n30_rerank_k20.json,fiscal_table,0.0,Missing text
fiscal_note_20250801_090745_n30_rerank_k20.json,agency_impact,1.0,"
The candidate text is completely incorrect and contradicts the gold standard text. The gold standard identifies the impacted agency as the Judiciary, which will receive appropriated funds and supervise the program through the Big Island Drug Court. In contrast, the candidate text incorrectly identifies the Department of Health (DOH) as the impacted agency and provides detailed budget and staffing information for the DOH, none of which is mentioned in the reference."
fiscal_note_20250801_090745_n30_rerank_k20.json,economic_impact,1.0,"
The candidate text is completely incorrect and appears to be summarizing a different source document entirely. It shares no factual information with the gold standard text.

- The candidate text misses every key economic data point from the reference: the cost of incarceration ($277,035), the program's goal of reducing these costs, and all participation/graduation statistics.
- It introduces completely new and unrelated information, such as a funding request of $801,802 by the Department of Health.
- It directly contradicts the gold standard by stating that ""specific performance or participation statistics are not provided,"" when the gold standard is almost entirely composed of these specific statistics."
fiscal_note_20250801_090745_n30_rerank_k20.json,policy_impact,1.0,"
The candidate text is completely incorrect and contradicts the most critical information in the gold standard text.

The gold standard explicitly states that the measure makes the First Circuit Women's Court **permanent**. The candidate text incorrectly states that the program is **temporary** and has a sunset date. This is a fundamental contradiction.

Furthermore, the candidate text misses all other key details:
*   It fails to mention the history of the program under Act 243, SLH 2022.
*   It does not specify that the *First Circuit* program is the one being made permanent.
*   It completely misses the establishment of a *new* pilot program in the Third Circuit (Kona Division)."
fiscal_note_20250801_090745_n30_rerank_k20.json,revenue_sources,10.0,"
The candidate text correctly identifies the revenue source as State General Funds (""general revenues of the State of Hawaii""). It perfectly captures the core information from the gold standard and adds relevant, non-contradictory details that enhance the summary, such as the specific nature of the appropriations and the explicit exclusion of other revenue types."
fiscal_note_20250801_090745_n30_rerank_k20.json,six_year_fiscal_implications,1.0,"The candidate text is completely incorrect and appears to be based on a different source document. It states that there is insufficient information to create a six-year forecast, which directly contradicts the gold standard text that provides a detailed six-year plan based on a set of assumptions.

Furthermore, the candidate text discusses appropriations for a ""Kona division"" ($514,900 and $557,000), which are numbers and details not present in the gold standard. The gold standard's analysis is based on the First Circuit Court program costs ($695,236 and $705,416) and a projected rollout to the Second, Fifth, and Third (Hilo) circuits. The candidate text misses every key piece of information from the reference."
fiscal_note_20250801_090745_n30_rerank_k20.json,operating_revenue_impact,0.0,Missing text
fiscal_note_20250801_090745_n30_rerank_k20.json,capital_expenditure_impact,0.0,Missing text
fiscal_note_20250801_090745_n30_rerank_k20.json,fiscal_implications_afer_6_years,0.0,Missing text
fiscal_note_20250801_090547_n25_rerank_k25.json,overview,2.0,"
The candidate text is highly inaccurate and omits critical information.

- It completely fails to mention the primary purpose of the measure: to permanently establish the Women's Court Program in the First Circuit.
- It incorrectly states the Kona pilot program is for three years, whereas the reference text specifies a two-year pilot program.
- It misrepresents the required reports, stating they are about the status of the Kona program, when the reference clearly states they are about the need and costs for establishing courts in entirely different circuits (Hilo, Second, and Fifth).

While it correctly identifies a pilot program in Kona and the sunset date, the multiple major factual errors and the omission of the bill's main provision make it a very poor summary."
fiscal_note_20250801_090547_n25_rerank_k25.json,appropriations,3.0,"The candidate text correctly identifies the specific dollar amounts for each fiscal year but fundamentally misrepresents them. It incorrectly frames these amounts as ""additional funding"" on top of other ""unspecified sums"" and wrongly concludes that the total appropriation is not explicitly stated. This directly contradicts the gold standard, which presents these figures as the required appropriation for the program. The description of what the funds are for is also only partially correct, adding details not in the reference text (equipment, probation supervisor) while omitting others (training, contract vendors, technology)."
fiscal_note_20250801_090547_n25_rerank_k25.json,assumptions_and_methodology,1.0,"
The candidate text is completely incorrect and describes a different methodology and set of cost components. The gold standard states the approximation is based on ""mirroring the cost"" of the ""Mohala Wahine"" program and includes supplies, technology, and contractor costs as detailed in ""Table 1"". The candidate text incorrectly claims the basis is ""staffing requirements"" and lists specific positions, salaries, training costs, and evaluation costs, citing various ""Documents"" instead. It completely misses every key point from the reference text."
fiscal_note_20250801_090547_n25_rerank_k25.json,fiscal_table,0.0,Missing text
fiscal_note_20250801_090547_n25_rerank_k25.json,agency_impact,1.0,"
The candidate text is completely incorrect and does not reflect the information in the gold standard.
The gold standard text clearly identifies the Judiciary as the agency receiving funds and supervising the program through the Big Island Drug Court.
The candidate text, however, focuses exclusively on the Department of Health (DOH), discussing its staffing needs and funding requests. The two texts describe the impact on completely different agencies."
fiscal_note_20250801_090547_n25_rerank_k25.json,economic_impact,1.0,"The candidate text is completely incorrect and contradicts the gold standard.

The primary failure is the candidate's claim that ""quantifiable performance or participation statistics are currently unavailable."" The gold standard text is almost entirely a list of these exact statistics (83 referrals, 11 participants in phase one, 12 in phase two, and 6 graduates). This is a direct contradiction.

Furthermore, the candidate completely omits the most critical piece of economic data from the gold standard: the $277,035 cost of incarcerating a single individual, which is the core of the economic impact argument. The candidate instead introduces budget information that is not present in the gold standard text at all."
fiscal_note_20250801_090547_n25_rerank_k25.json,policy_impact,3.0,"
The candidate text correctly identifies that the measure establishes a pilot program in Kona. However, it completely fails to mention the other primary policy impact described in the gold standard: that the measure makes the existing First Circuit Women's Court permanent. This is a critical omission of one of the two main points from the reference text. The candidate also includes fiscal and staffing details that are not present in the gold standard for this field."
fiscal_note_20250801_090547_n25_rerank_k25.json,revenue_sources,8.0,"The candidate text correctly identifies the revenue source as ""general revenues of the State,"" which is synonymous with the gold standard's ""State General Funds."" However, it includes a large amount of additional, extraneous information about the specifics of the appropriation request (fiscal years, purpose of funds, etc.) that is not present in the gold standard text for this particular field. The core fact is correct, but the output is not a precise match for the target field's content."
fiscal_note_20250801_090547_n25_rerank_k25.json,six_year_fiscal_implications,1.0,"The candidate text is completely incorrect and contradicts the gold standard's analysis.

The gold standard text makes a clear, central assumption that the program will be rolled out statewide in phases. Based on this assumption and using the First Circuit's costs as a model, it provides a detailed six-year fiscal projection, outlining how three new pilot programs would be established and their predecessors made permanent.

The candidate text does the exact opposite. It states that a six-year projection is impossible due to incomplete data and the program's temporary nature. It completely misses the core logic, assumptions, and financial figures ($695,236 pilot cost, $705,416 recurring cost) that form the basis of the gold standard's analysis. It cites different figures from various documents without synthesizing them into the coherent, long-term plan presented in the reference text."
fiscal_note_20250801_090547_n25_rerank_k25.json,operating_revenue_impact,0.0,Missing text
fiscal_note_20250801_090547_n25_rerank_k25.json,capital_expenditure_impact,0.0,Missing text
fiscal_note_20250801_090547_n25_rerank_k25.json,fiscal_implications_afer_6_years,0.0,Missing text
fiscal_note_20250801_090816_n30_rerank_k25.json,overview,3.0,"The candidate text contains significant factual inaccuracies and omits a key requirement from the gold standard.

- **Incorrect Program Duration:** The candidate states the Kona pilot program is for three years, while the gold standard correctly identifies it as a two-year program.
- **Incorrect/Missing Reporting Requirements:** The candidate completely misrepresents the reporting requirements. The gold standard requires reports on the need and cost for courts in the Hilo, Second, and Fifth Circuits. The candidate incorrectly states that reports are required on the status of the *existing* programs and omits any mention of the other circuits. This is a critical omission and error.

While the candidate correctly identifies that the First Circuit program is made permanent and notes the correct sunset date, the errors regarding the program length and the nature of the legislative reports are substantial, making the overview highly misleading."
fiscal_note_20250801_090816_n30_rerank_k25.json,appropriations,1.0,"
The candidate text is completely incorrect and appears to be summarizing a different bill or set of bills entirely. It fails to mention the correct appropriation amounts ($514,900 and $557,000) and instead provides incorrect figures ($801,802) and mentions ""unspecified"" amounts. It also omits key details such as the program's specific location (Kona Division of the Third Circuit). The candidate text contradicts the gold standard on all critical financial data."
