filename,field,gemini_score,gemini_explanation
fiscal_note_20250801_090745_n30_rerank_k20.json,overview,5.0,"The candidate text correctly identifies that the First Circuit program is being made permanent and that a Kona program is being established with appropriated funds and a sunset date. However, it contains a significant factual error, stating the Kona pilot program is for three years when it is for two. It also completely omits a key requirement from the gold standard: the reports to the legislature on the need for similar courts in other circuits."
fiscal_note_20250801_090745_n30_rerank_k20.json,appropriations,1.0,"
The candidate text is completely incorrect and does not contain any of the specific information found in the gold standard. It fails to mention the correct appropriation amounts of $514,900 and $557,000, the specific fiscal years, the ""Women's Court Pilot Program,"" or its location. Instead, the candidate text discusses entirely different bills and appropriations, making it irrelevant to the reference text."
fiscal_note_20250801_090745_n30_rerank_k20.json,assumptions_and_methodology,1.0,"
The candidate text is completely incorrect and appears to be describing a different fiscal measure or pulling from a different source entirely.

- **Contradictory Methodology:** The gold standard states the costs are based on the ""First Circuit Court pilot program,"" while the candidate states they are from the ""Department of Health's proposed budget.""
- **Contradictory Cost Details:** The candidate text provides very specific, but completely different, cost breakdowns (e.g., Clinical Psychologist salary, specific training costs, total appropriations). The gold text mentions supplies, workstations, and contractor costs, none of which are in the candidate text.
- **Missing Critical Information:** The candidate text fails to mention that the cost approximations are being applied to the ""Kona Division,"" a key detail from the gold standard.
- **Incorrect Reference:** The gold standard refers to ""Table 1"" for the cost breakdown, whereas the candidate cites multiple ""Documents.""

The only similarity is the reference to a program in the First Circuit, but all other crucial details are wrong."
fiscal_note_20250801_090745_n30_rerank_k20.json,agency_impact,1.0,"The candidate text is completely incorrect and contradicts the gold standard reference. The gold standard clearly states that the Judiciary is the agency impacted, responsible for supervision, and the recipient of the appropriated funds. The candidate text incorrectly identifies the Department of Health (DOH) as the impacted agency and provides a detailed budget and staffing breakdown for the DOH, none of which is mentioned in the reference text."
fiscal_note_20250801_090745_n30_rerank_k20.json,economic_impact,1.0,"
The candidate text is completely incorrect and appears to be summarizing information from a different document or a different section of the same document. It shares no factual details with the gold standard text.

- The candidate misses the central economic impact point: the cost of incarceration ($277,035) and the program's goal of reducing these costs.
- The candidate introduces entirely new and unrelated information, such as a funding request of $801,802 and the Department of Health's involvement.
- Critically, the candidate text directly contradicts the gold standard by stating that ""specific performance or participation statistics are not provided,"" when the gold standard is almost entirely composed of such statistics (referrals, participant numbers, graduates)."
fiscal_note_20250801_090745_n30_rerank_k20.json,policy_impact,1.0,"
The candidate text is completely incorrect and contradicts the gold standard reference.

The primary policy impact described in the gold standard is that the measure makes the First Circuit Women's Court *permanent* and establishes a *new* pilot program in the Third Circuit. The candidate text directly contradicts this by stating ""The program is temporary, sunsetting on June 30, 2027."" It completely misses the core change from a pilot program to a permanent one.

Furthermore, the candidate text fails to mention the new pilot program in the Third Circuit and includes fiscal details (appropriation amounts) that are not present in the gold standard for this field."
fiscal_note_20250801_090745_n30_rerank_k20.json,revenue_sources,9.0,"The candidate text correctly identifies the revenue source as State General Funds (""general revenues of the State of Hawaii""). It receives a high score because this core fact is accurate. It is not a perfect 10 because it includes a significant amount of additional detail (specifics on appropriations, fiscal years, and the lack of other revenue streams) that is not present in the concise gold standard text. While this extra information may be correct and relevant to the source document, it goes beyond the scope of the provided gold standard."
fiscal_note_20250801_090745_n30_rerank_k20.json,six_year_fiscal_implications,1.0,"
The candidate text is completely incorrect and contradicts the gold standard. The gold standard provides a detailed six-year projection based on the assumption of a statewide rollout modeled after the First Circuit's program, including specific cost estimates for pilot and permanent programs ($695,236 and $705,416 respectively). In contrast, the candidate text states that there is insufficient information to create a six-year projection, cites completely different cost figures for a different program (Kona division), and claims information on long-term permanence and expansion is missing, when the gold standard explicitly makes assumptions about these very points to build its forecast."
fiscal_note_20250801_090745_n30_rerank_k20.json,fiscal_implications_afer_6_years,0.0,Missing text
fiscal_note_20250801_090547_n25_rerank_k25.json,overview,1.0,"
The candidate text is fundamentally flawed and misses the most important aspects of the gold standard.

- **Critical Omission:** The candidate text completely omits the primary purpose of the measure, which is to **permanently establish the Women's Court Program in the First Circuit**.
- **Factual Contradiction:** The candidate states the Kona pilot program is for three years, directly contradicting the gold standard's statement that it is a **two-year** pilot program.
- **Inaccurate Details:** The purpose of the legislative reports is misrepresented. The gold standard requires reports on the need/cost for courts in Hilo, the Second, and Fifth Circuits, while the candidate describes reports on the Kona program's status and expansion."
